"id","labels","allProperties"
"60","[""Artist""]","{""name"":""Suzanne Ciani"",""artist_id"":""AR89DTT1187B9A7ED5""}"
"61","[""Artist""]","{""name"":""Vickie Winans"",""artist_id"":""ARMD0G81187B99A519""}"
"62","[""Artist""]","{""name"":""The Berzerker"",""artist_id"":""AR0VZWC1187B99BA57""}"
"63","[""Artist""]","{""name"":""Kings Of Leon"",""artist_id"":""ARF2EHS1187B994F4E""}"
"64","[""Artist""]","{""name"":""Edith Lefel"",""artist_id"":""ARZKRD01187FB45FD2""}"
"65","[""Artist""]","{""name"":""Taras"",""artist_id"":""ARK4H5K1187B992F74""}"
"66","[""Artist""]","{""name"":""NOFX"",""artist_id"":""AR06EB01187FB40150""}"
"67","[""Artist""]","{""name"":""Murskahumppa"",""artist_id"":""ARKPDBH1242077DEB1""}"
"68","[""Artist""]","{""name"":""Soda Stereo"",""artist_id"":""ARBJSO81187B9BA09B""}"
"69","[""Artist""]","{""name"":""Bruce Rowland"",""artist_id"":""ARRC2JF1187B9B6A93""}"
"70","[""Artist""]","{""name"":""Xcultures"",""artist_id"":""ARNIFX51187FB418EA""}"
"71","[""Artist""]","{""name"":""White Heart"",""artist_id"":""ARCCRTI11F4C845308""}"
"72","[""Artist""]","{""name"":""Heavy D / McGruff"",""artist_id"":""ARNVH8S1187FB52F86""}"
"73","[""Artist""]","{""name"":""Van Halen"",""artist_id"":""ARNLO5S1187B9B80CC""}"
"74","[""Job""]","{""name"":""Educație și Învățământ""}"
"75","[""Artist""]","{""name"":""Nine Inch Nails"",""artist_id"":""ARK9TRQ1187B99C095""}"
"76","[""Artist""]","{""name"":""Nick Cave & The Bad Seeds"",""artist_id"":""ARODBRG1187FB3FD99""}"
"77","[""Artist""]","{""name"":""Nadine Renee"",""artist_id"":""ARMBYRO1187FB57419""}"
"78","[""Artist""]","{""name"":""Lesley Gore"",""artist_id"":""ARWY7I71187FB36C3D""}"
"79","[""Artist""]","{""name"":""Smartbomb"",""artist_id"":""AR6Y22S1187B99906F""}"
"80","[""Artist""]","{""name"":""Suburbs"",""artist_id"":""ARI5P4N1187FB3F44D""}"
"81","[""Artist""]","{""name"":""Emperor"",""artist_id"":""ARYPWUK1187B98ACED""}"
"82","[""Artist""]","{""name"":""Julien Clerc"",""artist_id"":""ARW63KF1187B98AC48""}"
"83","[""Artist""]","{""name"":""Glen Campbell"",""artist_id"":""AR8H87D1187FB3A841""}"
"84","[""Job""]","{""name"":""Finanțe și Contabilitate""}"
"85","[""Artist""]","{""name"":""Slim Whitman"",""artist_id"":""ARF4V431187FB3AA41""}"
"86","[""Artist""]","{""name"":""Savage Garden"",""artist_id"":""ARBGWMW1187B9AEA3E""}"
"87","[""Artist""]","{""name"":""Queens Of The Stone Age"",""artist_id"":""AR6G4V01187B9AD086""}"
"88","[""Job""]","{""name"":""Marketing și Publicitate""}"
"89","[""Artist""]","{""name"":""Inspiral Carpets"",""artist_id"":""AR9AM2N1187B9AD2F1""}"
"90","[""Artist""]","{""name"":""Borialis"",""artist_id"":""AR9XEVF1187B99D017""}"
"91","[""Artist""]","{""name"":""The Dirty Skirts"",""artist_id"":""ARCFOZ71187FB43A0D""}"
"92","[""Artist""]","{""name"":""Flor Silvestre"",""artist_id"":""ARHFEBO11F50C4825A""}"
"93","[""Artist""]","{""name"":""Bézu"",""artist_id"":""AR107SB1187B9A79F9""}"
"94","[""Artist""]","{""name"":""Redman"",""artist_id"":""ARXWAQQ1187B9AE954""}"
"95","[""Artist""]","{""name"":""Solistiyhtye Suomi"",""artist_id"":""ARL6XZC1187FB3936E""}"
"96","[""Artist""]","{""name"":""Eddie Cantor"",""artist_id"":""ARSDSMG1187B98CB59""}"
"97","[""Artist""]","{""name"":""Schizoid"",""artist_id"":""AR3WMW01187B9921F7""}"
"98","[""Artist""]","{""name"":""Kai Winding"",""artist_id"":""AR3C3C01187B98E800""}"
"99","[""Artist""]","{""name"":""Sonny Simmons"",""artist_id"":""ARDD9UN1187B98D3A7""}"
"100","[""Artist""]","{""name"":""Mira"",""artist_id"":""ARJGNV61187B98F3B5""}"
"101","[""Artist""]","{""name"":""Citizen Kaned"",""artist_id"":""ARSVI4L1187B996181""}"
"102","[""Artist""]","{""name"":""The Brooklyn Tabernacle Choir"",""artist_id"":""ARVJ0JK1187B98C9C0""}"
"103","[""Artist""]","{""name"":""Ellen McIlwaine"",""artist_id"":""AR4PCIG1187B98D07D""}"
"104","[""Job""]","{""name"":""Vânzări și Business Development""}"
"105","[""Job""]","{""name"":""Resurse Umane""}"
"106","[""Artist""]","{""name"":""Carl Cox Vs Yousef"",""artist_id"":""ARBQBZV1187B99D29E""}"
"107","[""Artist""]","{""name"":""Organized Konfusion"",""artist_id"":""AR9ODB41187FB459B2""}"
"108","[""Artist""]","{""name"":""Martina McBride"",""artist_id"":""ARF3GX71187FB3EB66""}"
"109","[""Artist""]","{""name"":""Horace Andy"",""artist_id"":""AR3PN3R1187FB4CEBD""}"
"110","[""Artist""]","{""name"":""Nazz"",""artist_id"":""ARYWCFZ11E2835CFDD""}"
"111","[""Artist""]","{""name"":""Tyrone Davis"",""artist_id"":""ARUT16P1187FB532A4""}"
"112","[""Artist""]","{""name"":""Hot Tuna"",""artist_id"":""AREOGMA1187B9908EF""}"
"113","[""Artist""]","{""name"":""Richard Burton"",""artist_id"":""AR4ABL21187FB3913A""}"
"114","[""Artist""]","{""name"":""Rory Block"",""artist_id"":""AR8YV1I1187FB45D2B""}"
"115","[""Artist""]","{""name"":""Boyz II Men"",""artist_id"":""ARR9XGB1187B9912E6""}"
"116","[""Artist""]","{""name"":""Howard Armstrong"",""artist_id"":""ARBKUS51187B98A3AC""}"
"117","[""Artist""]","{""name"":""Donny Hathaway"",""artist_id"":""ARTB5PP1187FB523B7""}"
"118","[""Artist""]","{""name"":""Miguel Gallardo"",""artist_id"":""ARXFQDY1187B9AAF1E""}"
"119","[""Artist""]","{""name"":""Les Ogres De Barback"",""artist_id"":""ARVEJ9M1187FB4DC44""}"
"120","[""Job""]","{""name"":""Construcții și Arhitectură""}"
"121","[""Artist""]","{""name"":""Morel"",""artist_id"":""ARQESNI1187FB511EE""}"
"122","[""Artist""]","{""name"":""Tony Joe White"",""artist_id"":""ARCZ20M1187FB49687""}"
"123","[""Artist""]","{""name"":""Wolfmother"",""artist_id"":""ARDF8K01187FB37200""}"
"124","[""Artist""]","{""name"":""The Roches"",""artist_id"":""AR11NP91187B9901B4""}"
"125","[""Artist""]","{""name"":""Bob Margolin"",""artist_id"":""ARBZAIL1187FB5B1C8""}"
"126","[""Artist""]","{""name"":""Thomas Battenstein"",""artist_id"":""ARWXHRS1241B9C7A1E""}"
"127","[""Artist""]","{""name"":""Jupiter Rising"",""artist_id"":""ARV1P811187FB3CFC6""}"
"128","[""Artist""]","{""name"":""Dharma Bums"",""artist_id"":""ARIU0MA1187B98D36F""}"
"129","[""Artist""]","{""name"":""Saafir"",""artist_id"":""ARB4D891187B9954F7""}"
"130","[""Artist""]","{""name"":""The Verve Pipe"",""artist_id"":""ARQOC971187B9910FA""}"
"131","[""Artist""]","{""name"":""Bob Neuwirth"",""artist_id"":""AR19SOA1187B98F6E6""}"
"132","[""Artist""]","{""name"":""Marvin Sapp"",""artist_id"":""ARTDBI61187FB48479""}"
"133","[""Artist""]","{""name"":""James Hunter"",""artist_id"":""ARSE6YI1187B9B9CD2""}"
"134","[""Artist""]","{""name"":""Nelson Ned"",""artist_id"":""AR6C8EJ1187FB3F473""}"
"135","[""Artist""]","{""name"":""Mish Mash"",""artist_id"":""AROI96Z1187B9A5304""}"
"136","[""Artist""]","{""name"":""Cama"",""artist_id"":""ARIOSKN1257509BCE1""}"
"137","[""Artist""]","{""name"":""Maxi Priest"",""artist_id"":""ARI0PUX1187FB3F215""}"
"138","[""Artist""]","{""name"":""Porcupine Tree"",""artist_id"":""ARYO9BU1187B9ADA88""}"
"139","[""Artist""]","{""name"":""Ragheb Alama"",""artist_id"":""ARZ507V1187FB4425E""}"
"140","[""Artist""]","{""name"":""Foo Fighters"",""artist_id"":""AR6XPWV1187B9ADAEB""}"
"141","[""Artist""]","{""name"":""Shakira Featuring Wyclef Jean"",""artist_id"":""AR6PJ8R1187FB5AD70""}"
"142","[""Artist""]","{""name"":""The Avengers"",""artist_id"":""AR4CG3B1187FB5B861""}"
"143","[""Artist""]","{""name"":""Robben Ford"",""artist_id"":""AR7BMMV1187FB5B2D7""}"
"144","[""Artist""]","{""name"":""Brazilian Tropical Orchestra"",""artist_id"":""AREYIHC1187B99CE0B""}"
"145","[""Artist""]","{""name"":""Gil Semedo"",""artist_id"":""AREEMIN11F4C848971""}"
"146","[""Album""]","{""name"":""Dimensions""}"
"147","[""Artist""]","{""name"":""Xmilk"",""artist_id"":""ARBGJLS11F4C83D4B9""}"
"148","[""Artist""]","{""name"":""Dolce; Oscar G."",""artist_id"":""ARVNDLR1187B99CA1B""}"
"149","[""Artist""]","{""name"":""Britt Nicole"",""artist_id"":""AR5LZJD1187FB4C5E5""}"
"150","[""Album""]","{""name"":""Las Numero 1 De La Sonora Santanera""}"
"151","[""Job""]","{""name"":""Servicii Juridice""}"
"152","[""Job""]","{""name"":""Agricultură și Silvicultură""}"
"153","[""Artist""]","{""name"":""Sven Tasnadi"",""artist_id"":""ARTB56G11C8A41569D""}"
"154","[""Artist""]","{""name"":""Eddie"",""artist_id"":""AR0GGKI1187FB391D5""}"
"155","[""Artist""]","{""name"":""Enthroned"",""artist_id"":""ARZEWUR1187FB53DC8""}"
"156","[""Album""]","{""name"":""Friend Or Foe""}"
"157","[""Artist""]","{""name"":""Milan Band"",""artist_id"":""ARTHKKA122BCFCBF58""}"
"158","[""Artist""]","{""name"":""Johnny Osbourne"",""artist_id"":""ARJDMBO1187B9AD118""}"
"159","[""Artist""]","{""name"":""Dolly Parton"",""artist_id"":""ARYJSY01187B9B7C65""}"
"160","[""Artist""]","{""name"":""Rance Allen Group"",""artist_id"":""AR77FBJ1187FB49D8D""}"
"161","[""Artist""]","{""name"":""Pearl Jam"",""artist_id"":""ARFVYJI1187B9B8E13""}"
"162","[""Artist""]","{""name"":""Natalie Cole"",""artist_id"":""ARBM4TC1187FB5CE98""}"
"163","[""Artist""]","{""name"":""Mastodon"",""artist_id"":""ARMQHX71187B9890D3""}"
"164","[""Artist""]","{""name"":""Kiril Valeri"",""artist_id"":""ARYXJ5A1187B9B9E56""}"
"165","[""Artist""]","{""name"":""Word"",""artist_id"":""ARULHJM1187B997004""}"
"166","[""Artist""]","{""name"":""DJ Quik"",""artist_id"":""AROTIMO1187FB532BF""}"
"167","[""Artist""]","{""name"":""Hank Locklin"",""artist_id"":""AR0X3JJ1187FB3A9A7""}"
"168","[""Artist""]","{""name"":""BT"",""artist_id"":""AR035N21187FB3938E""}"
"169","[""Artist""]","{""name"":""2-4 Grooves feat. Reki D."",""artist_id"":""ARA0H5U1187FB47949""}"
"170","[""Job""]","{""name"":""Industrie și Producție""}"
"171","[""Artist""]","{""name"":""Descendents"",""artist_id"":""ARANOZN1187B9B373E""}"
"172","[""Artist""]","{""name"":""L.A. Guns"",""artist_id"":""ARHONG11187FB3B120""}"
"173","[""Artist""]","{""name"":""Bare Jr."",""artist_id"":""ARRA2F91187B9B4061""}"
"174","[""Artist""]","{""name"":""Shelley Fabares"",""artist_id"":""ARSGZ3J1187FB3E610""}"
"175","[""Artist""]","{""name"":""Norrie Paramor"",""artist_id"":""ARMQ32V1187B9999F3""}"
"176","[""Artist""]","{""name"":""Gary Hobbs"",""artist_id"":""AR8EDG51187FB41A08""}"
"177","[""Artist""]","{""name"":""Diesel Boy"",""artist_id"":""AR1GYND1187B9A9CD3""}"
"178","[""Artist""]","{""name"":""Angelo Badalamenti"",""artist_id"":""AR1PCLK1187FB5BBFF""}"
"179","[""Artist""]","{""name"":""Cradle Of Filth"",""artist_id"":""ARF0W6Z1187B9AC325""}"
"180","[""Artist""]","{""name"":""Jim Chappell"",""artist_id"":""ARWGIOC1187FB4CBEF""}"
"181","[""Artist""]","{""name"":""Ladybug"",""artist_id"":""ARZHLNX1187FB4B8E7""}"
"182","[""Artist""]","{""name"":""Bandido"",""artist_id"":""ARC25S11187B993923""}"
"183","[""Artist""]","{""name"":""Brixx"",""artist_id"":""ARKE8PP1187B997DD4""}"
"184","[""Album""]","{""name"":""Muertos Vivos""}"
"185","[""Artist""]","{""name"":""Susana Seivane"",""artist_id"":""ARGTUWC1187B9904A0""}"
"186","[""Artist""]","{""name"":""Leland Martin"",""artist_id"":""ARFS01P1187B9A395A""}"
"187","[""Artist""]","{""name"":""Test Icicles"",""artist_id"":""ARGWIHH1187B9A79B0""}"
"188","[""Artist""]","{""name"":""Heaven 17"",""artist_id"":""AR5MK521187B98E0B8""}"
"189","[""Artist""]","{""name"":""React"",""artist_id"":""ARU22AM1187B9961EA""}"
"190","[""User""]","{""password"":""$2b$10$lLfxJhpDfipFM0rT.oQqQuFmjLgdbCjalHM1nHVw6OO6W4ZBOunKS"",""gender"":""male"",""name"":""Gicu Lulik"",""userId"":""9e294f88-be02-46d4-94b4-46f2c7e0f617"",""email"":""gicu.luli@gmail.com""}"
"191","[""Artist""]","{""name"":""Mance Lipscomb"",""artist_id"":""AR93RTI1187B98ECFB""}"
"192","[""Artist""]","{""name"":""Scott Wesley Brown"",""artist_id"":""AR9AN471187B99E0DA""}"
"193","[""Artist""]","{""name"":""Flávio José"",""artist_id"":""ARAR4YH1187B98BF2A""}"
"194","[""Artist""]","{""name"":""Moss"",""artist_id"":""AR567PN1187FB4B4F2""}"
"195","[""Artist""]","{""name"":""Pery Ribeiro"",""artist_id"":""ARYKF861187B99C74B""}"
"196","[""Artist""]","{""name"":""Soular"",""artist_id"":""AR4K59J1187FB3759B""}"
"197","[""Artist""]","{""name"":""Dimmu Borgir"",""artist_id"":""ARLSF8H1187B9A76B0""}"
"198","[""Artist""]","{""name"":""Public Image Ltd"",""artist_id"":""ARDG9Z71187B997023""}"
"199","[""Artist""]","{""name"":""Gary Moore"",""artist_id"":""AR56P361187B9AC4DB""}"
"200","[""Artist""]","{""name"":""Pascal Sangla"",""artist_id"":""ARDDHGI126E2B3AA76""}"
"201","[""Artist""]","{""name"":""The B-52's"",""artist_id"":""ARVML631187B99E90D""}"
"202","[""Artist""]","{""name"":""Dakis"",""artist_id"":""ARBKMHZ11F4C843491""}"
"203","[""Artist""]","{""name"":""Sex Pistols"",""artist_id"":""ARD3LXU1187B9ABFC5""}"
"204","[""Artist""]","{""name"":""Chris Brown"",""artist_id"":""ARXOTQH1187FB57084""}"
"205","[""Artist""]","{""name"":""Deekline & Wizard"",""artist_id"":""ARMG6K31187FB55677""}"
"206","[""Artist""]","{""name"":""Daniela Dessì"",""artist_id"":""ARFUSID1241B9C9462""}"
"207","[""Artist""]","{""name"":""Hem"",""artist_id"":""ARC6UC81187B989062""}"
"208","[""Artist""]","{""name"":""Lily Allen"",""artist_id"":""ARKZJ301187FB521B2""}"
"209","[""Artist""]","{""name"":""Pentangle"",""artist_id"":""ARVKAWO11F50C47C9A""}"
"210","[""Artist""]","{""name"":""DJ Dips"",""artist_id"":""ARHXBJI1241B9C8B7F""}"
"211","[""Artist""]","{""name"":""Ana Bekuta"",""artist_id"":""ARTFLEU1269FCD1FE3""}"
"212","[""Artist""]","{""name"":""Jason Miles"",""artist_id"":""AR0LVFQ1187B9A84E0""}"
"213","[""Job""]","{""name"":""Transport și Logistică""}"
"214","[""Artist""]","{""name"":""Byther Smith"",""artist_id"":""ARZ05QG1187FB3843E""}"
"215","[""Artist""]","{""name"":""Bebo & Cigala"",""artist_id"":""ARTEGHH1187FB435C8""}"
"216","[""Artist""]","{""name"":""Bizarre Inc"",""artist_id"":""ARASSX21187FB528B7""}"
"217","[""Artist""]","{""name"":""Bongzilla"",""artist_id"":""ARRH2S81187B98C8AA""}"
"218","[""Artist""]","{""name"":""The Gone Jackals"",""artist_id"":""ARSF4161187B9B449F""}"
"219","[""Artist""]","{""name"":""The Willis Brothers"",""artist_id"":""AR87OXB1187FB39E0B""}"
"220","[""Artist""]","{""name"":""Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd"",""artist_id"":""ARCLCFS1187B9AE476""}"
"221","[""Artist""]","{""name"":""S.U.P"",""artist_id"":""ARWAPYC1187FB3FCAF""}"
"222","[""Job""]","{""name"":""Ospitalitate și Turism""}"
"223","[""Artist""]","{""name"":""Brian Keane"",""artist_id"":""ARHSAFX1187B98E89A""}"
"224","[""Artist""]","{""name"":""Aberdeen"",""artist_id"":""ARGR9FY1187FB4D0E7""}"
"225","[""Artist""]","{""name"":""The Killers"",""artist_id"":""ARVG4OK1187B9B6BD3""}"
"226","[""Artist""]","{""name"":""Gloriana"",""artist_id"":""ARGCY1Y1187B9A4FA5""}"
"227","[""Artist""]","{""name"":""Butterfly Temple"",""artist_id"":""ARYFROT1187B9B78C2""}"
"228","[""Artist""]","{""name"":""Grant Geissman"",""artist_id"":""ARIN12F1187FB3E92C""}"
"229","[""Job""]","{""name"":""Artă și Design""}"
"230","[""Artist""]","{""name"":""José Augusto"",""artist_id"":""AR0CWSC1187B9AFE3F""}"
"231","[""Artist""]","{""name"":""Orbital"",""artist_id"":""ARD5K161187B9AC784""}"
"232","[""Artist""]","{""name"":""Bone Thugs-N-Harmony / Akon"",""artist_id"":""ARUZRFN1187B98AC05""}"
"233","[""Artist""]","{""name"":""Moonsorrow"",""artist_id"":""ARSTH0R1187B98951E""}"
"234","[""Artist""]","{""name"":""N.W.A."",""artist_id"":""ARSL5SP1187B9A7AE0""}"
"235","[""Artist""]","{""name"":""Rage Against The Machine"",""artist_id"":""ARCE0H01187B9AF741""}"
"236","[""Artist""]","{""name"":""Jazz Gillum"",""artist_id"":""ARW4AGO1187FB4F107""}"
"237","[""Artist""]","{""name"":""Rise Against"",""artist_id"":""ARZWK2R1187B98F09F""}"
"238","[""Artist""]","{""name"":""Ultraviolence"",""artist_id"":""ARDOOH01187B991055""}"
"239","[""Artist""]","{""name"":""Korn"",""artist_id"":""ARMBTFC1187FB56343""}"
"240","[""Artist""]","{""name"":""Sir Neville Marriner"",""artist_id"":""ARBH0MS1187FB36311""}"
"241","[""Artist""]","{""name"":""Agnes"",""artist_id"":""ARTXEZN1187B9B8190""}"
"242","[""Artist""]","{""name"":""James Horner"",""artist_id"":""ARBM57Q1187B9AF97C""}"
"243","[""Artist""]","{""name"":""Tantric"",""artist_id"":""ARED2DG1187FB3CB4D""}"
"244","[""User""]","{""password"":""$2b$10$yCkbokrmleAxQRq3633tDOFtqtZF.ejC8RP.YSPGiiqpBTOo7Sr.6"",""gender"":""female"",""name"":""Mariana Lulik"",""userId"":""83e10abf-9908-4701-9862-bb0e15611071"",""email"":""mariana.luli@gmail.com""}"
"245","[""Album""]","{""name"":""Gin & Phonic""}"
"246","[""Artist""]","{""name"":""The Irish Tenors"",""artist_id"":""AREW1KO1187B98E42E""}"
"247","[""Artist""]","{""name"":""U2"",""artist_id"":""ARUJ5A41187FB3F5F1""}"
"248","[""Artist""]","{""name"":""Little Joe"",""artist_id"":""ARE2BVT1187B9AC9A2""}"
"249","[""Album""]","{""name"":""Pink World""}"
"250","[""Artist""]","{""name"":""Blind Blake & The Royal Victoria Hotel Calypsos"",""artist_id"":""AR97EHA1187B98AD5F""}"
"251","[""Job""]","{""name"":""Comunicare și Jurnalism""}"
"252","[""Artist""]","{""name"":""Extreme"",""artist_id"":""AR5J8XN1187B9B712E""}"
"253","[""Artist""]","{""name"":""Alexandre Desplat"",""artist_id"":""AR4B3RX1187B9A868A""}"
"254","[""Artist""]","{""name"":""Prozak"",""artist_id"":""ARE1N571187B98A47D""}"
"255","[""Artist""]","{""name"":""Jerry Butler"",""artist_id"":""AR8XG9J1187FB418C1""}"
"256","[""Artist""]","{""name"":""Yvette Horner"",""artist_id"":""ARHSS201187B98A8CC""}"
"257","[""Job""]","{""name"":""Servicii Sociale și ONG""}"
"258","[""Artist""]","{""name"":""Placebo"",""artist_id"":""AR6892W1187B9AC71B""}"
"259","[""Artist""]","{""name"":""Tam Tam Go!"",""artist_id"":""ARGNGRI11E2835D567""}"
"260","[""Artist""]","{""name"":""Gertrudis"",""artist_id"":""ARQDYV0119B866800F""}"
"261","[""Artist""]","{""name"":""Warrior King"",""artist_id"":""ARN5W1B1187B98BE10""}"
"262","[""Album""]","{""name"":""Superinstrumental""}"
"263","[""Artist""]","{""name"":""LORE"",""artist_id"":""ARETCTY1187FB4C033""}"
"264","[""Artist""]","{""name"":""Soul Asylum"",""artist_id"":""ARQXR6R1187FB46FD6""}"
"265","[""Job""]","{""name"":""Securitate și Apărare""}"
"266","[""Album""]","{""name"":""I Need You""}"
"267","[""Album""]","{""name"":""The Way Home""}"
"268","[""Artist""]","{""name"":""The Nightraver & The Magican"",""artist_id"":""ARHVU591187B99F46A""}"
"269","[""Artist""]","{""name"":""Rah Digga (Featuring Outsidaz)"",""artist_id"":""ARV2V751187FB4330F""}"
"270","[""Artist""]","{""name"":""RUN-DMC"",""artist_id"":""ARX9YIP1187B98A656""}"
"271","[""Artist""]","{""name"":""Bert Kaempfert And His Orchestra"",""artist_id"":""ARPPURC1187B990FB7""}"
"272","[""Album""]","{""name"":""Placer & Castigo""}"
"273","[""Artist""]","{""name"":""Lady May"",""artist_id"":""ARYECMK1187FB5C081""}"
"274","[""Artist""]","{""name"":""Nightwish"",""artist_id"":""AR74Q3R1187B9B24C3""}"
"275","[""Album""]","{""name"":""Arrivederci""}"
"276","[""Artist""]","{""name"":""Frank Chacksfield"",""artist_id"":""AR0G47L1187B98CC6D""}"
"277","[""Artist""]","{""name"":""Cesar Camargo Mariano/Helio Delmiro"",""artist_id"":""ARKUP6H1187FB3F8E3""}"
"278","[""Artist""]","{""name"":""Buzzhorn"",""artist_id"":""ARHRP6Q1187FB3F016""}"
"279","[""Job""]","{""name"":""IT și Securitate Cibernetică""}"
"280","[""Job""]","{""name"":""Știință și Cercetare""}"
"281","[""Artist""]","{""name"":""The Secret Life of Teenage Girls"",""artist_id"":""ARQCMZ01187B99342C""}"
